The Man Who Knew Infinity (English),0349104522,9780349104522,Rs. 377,448 Pages,,"Little, Brown Book Group",1992,Paperback,English
Wings of Fire: An Autobiography (English) 1st  Edition,8173711461,9788173711466,Rs. 94,180 Pages,,Universities Press,2015,Paperback,English
Jail Diary : Tihar Se Kabul-Kandhar Tak,9350293285,9789350293287,Rs. 138,312 Pages,,Harper Hindi,2012,Paperback,Hindi
I Too Had a Dream (English),8174364072,9788174364074,Rs. 207,250 Pages,Verghese Kurien,Roli Books,2007,Paperback,English
Into the Wild (English),0330351699,9780330351690,Rs. 211,,,Pan,,Paperback,English
"30 Women in Power : Their Voices, Their Stories (English)",8129135809,9788129135803,Rs. 395,314 Pages,Naina Lal Kidwai,Rupa Publications,2015 May,Hardcover,English
The Motorcycle Diaries (English),0007272901,9780007272907,Rs. 183,165 Pages,Ernesto Che Guevara,HarperCollins Publisher,2004,Paperback,English
The Autobiography of Benjamin Franklin,0743255062,9780743255066,Rs. 170,,,SIMON,2004,Paperback,
Turning Points : A Journey Through Challanges,9350293471,9789350293478,Rs. 175,,,Harper Collins,2012,Paperback,
Byculla to Bangkok (English),9351362256,9789351362258,Rs. 255,336 Pages,,HarperCollins,2014,Paperback,English
Wise and Otherwise : A Salute to Life (English),0143062220,9780143062226,Rs. 128,232 Pages,Sudha Murty,Penguin,2006,Paperback,English
The Arthashastra (English),0140446036,9780140446036,Rs. 444,872 Pages,Kautilya,Penguin,1992 October,Paperback,English
Durbar (English),9350097516,9789350097519,Rs. 209,324 Pages,,Hachette India,2013,Paperback,English
Dongri To Dubai: Six Decades of The Mumbai Mafia (English),8174368949,9788174368942,Rs. 183,408 Pages,S Hussain Zaidi,Roli Books,2012,Paperback,English
Shantaram (English),0349117543,9780349117546,Rs. 379,944 Pages,,"Little, Brown Book Group",2005,Paperback,English
Autobiography Or The Story of My Experiments With Truth PB (English),8129117304,9788129117304,Rs. 166,540 Pages,,Rupa Publication,2011,Paperback,English
Target 3 Billion (English),0143417304,9780143417309,Rs. 224,298 Pages,,Penguin India,2011 January,Paperback,English
The Day I Stopped Drinking Milk: Life Stories from Here and There (English),0143418653,9780143418658,Rs. 165,212 Pages,,Penguin Publishing Group,2013 January,Paperback,English
"Arise, Awake : The Inspiring Stories of 10 Young Entrepreneurs Who Graduated from College into a Business of Their Own (English)",9384030872,9789384030872,Rs. 109,208 Pages,Rashmi Bansal,Westland,2015 February,Paperback,English
The Last Lecture (English),0340977736,9780340977736,Rs. 252,224 Pages,,Hodder & Stoughton,2008,Paperback,English
Lean In (English),0753541637,9780753541630,Rs. 389,256 Pages,,Ebury Publishing,2013,Paperback,English
The Race of My Life : An Autobiography (English),8129129108,9788129129109,Rs. 213,,Sonia Sanwalka Milkha Singh,Rupa Publications India,2013 August,Paperback,English
Surely You're Joking Mr Feynman,009917331X,9780099173311,Rs. 264,,,Random House,1992,Paperback,
Unbreakable : An Autobiography (English),9351160092,9789351160090,Rs. 99,160 Pages,,Harpersport,2013 November,Paperback,English
If Truth Be Told: A Monk's Memoir : A Monk's Memoir (English),9351368068,9789351368069,Rs. 269,264 Pages,,Harper Element,2014,Hardcover,English
Yuvraj Singh- The Test of My life (English),818400298X,9788184002980,Rs. 209,232 Pages,,Ebury Press/ Random House India,2012,Hardcover,English
I Am Malala: The Girl Who Stood Up for Education and was Shot by the Taliban,1780228791,9781780228792,Rs. 239,288 Pages,,Orion Publishing Group,2014,Paperback,
Narendra Modi: A political Biography (English),9351770257,9789351770251,Rs. 249,352 Pages,,HARPER COLLINS INDIA,,Paperback,English
Open : an Autobiography (English),0007416792,9780007416790,Rs. 384,390 Pages,Andre Agassi,HarperCollins Publisher,2010 January,Paperback,English
"MSD - The Man, The Leader (English)",8129135817,9788129135810,Rs. 233,264 Pages,Biswadeep Ghosh,Rupa Publications India,2015 February,Paperback,English
The Diary Of A Young Girl (English),8172345194,9788172345198,Rs. 73,,,FINGERPRINT,,,English
Swami Vivekananda : The Living Vedanta (English),0143062093,9780143062097,Rs. 214,480 Pages,Chaturvedi Badrinath,Penguin Books India Ltd,2015,Paperback,English
Albert Einstein: A Biography (English),8184953542,9788184953541,Rs. 299,188 Pages,,Jaico,2012,Paperback,English
I Have A Dream (English),9380658389,9789380658384,Rs. 100,361 Pages,,Westland And Tranquebar Press,2011,Paperback,English
Dr. Babasaheb Ambedkar (English),8171543294,9788171543298,Rs. 635,540 Pages,Dhananjay Kheer,Popular Prakashan,2014 December,Paperback,English
The Diary of a Young Girl (English),9380914318,9789380914312,Rs. 199,224 Pages,,General Press,2012,Paperback,English
Our Moon has Blood Clots : The Exodus of the Kashmiri Pandits (English),8184000871,9788184000870,Rs. 450,272 Pages,Rahul Pandita,Vintage Books||Random House,2013,Hardcover,English
A Brief History Of Time (English),0553175211,9780553175219,Rs. 249,240 Pages,,Transworld,1989,Paperback,English
A Thousand Splendid Suns (English),1408844443,9781408844441,Rs. 190,,,Bloomsbury Publishing (IN),,Paperback,English
The Accidental Prime Minister : The Making and Unmaking of Manmohan Singh (English),0670086746,9780670086740,Rs. 425,320 Pages,Sanjaya Baru,Penguin,2014 April,Hardcover,English
"Mud, Sweat and Tears",1905026498,9781905026494,Rs. 474,,,Transworld,2012,Paperback,
Einstein,1847390544,9781847390547,Rs. 475,,,Simon & Schuster UK,2008,Paperback,
Long Walk To Freedom (English),0349106533,9780349106533,Rs. 454,784 Pages,,"Little, Brown Book Group",1995,Paperback,English
It Happened In India (English),8129111373,9788129111371,Rs. 233,280 Pages,,Rupa Publication,2007,Paperback,English
The Autobiography Of Benjamin Franklin (English) 1st Edition,8190620827,9788190620826,Rs. 149,255 Pages,,Pigeon Books India,2010,Paperback,English
Courage and Conviction : An Autobiography (English),9382277579,9789382277576,Rs. 470,396 Pages,"Kunal Verma, V. K. Singh",Aleph Book Company,2013 November,Hardcover,English
