A Critical History of English Literature - Volume 1 and 2 (Combo Pack) by David Daiches-Supernova Publishers-Paperback,8189930648,9788189930646,Rs. 600,1211 Pages,,Supernova Publishers,,Paperback,
Train to Pakistan (English),0143065882,9780143065883,Rs. 175,192 Pages,Khushwant Singh,Penguin Books Ltd,2016,Paperback,English
The Arthashastra (English),0140446036,9780140446036,Rs. 444,872 Pages,Kautilya,Penguin,1992 October,Paperback,English
Jonathan Livingston Seagull (English),817223578X,9788172235789,Rs. 175,96 Pages,Richard Bach,Herper Collins Publishers Limited,2005,Paperback,English
The Murder of Roger Ackroyd (English),0007282540,9780007282548,Rs. 162,368 Pages,Agatha Christie,HarperCollins Publisher,2002,Paperback,English
1984 A Novel (English),8129116111,9788129116116,Rs. 140,313 Pages,,Rupa & Co,2010,Paperback,English
To Kill A Mockingbird,0099419785,9780099419785,Rs. 380,,,Random House,1989,Paperback,
Sherlock Holmes: The Complete Novels and Stories Volume II,0553212427,9780553212426,Rs. 154,,,Random House Publishing Group,1986,Paperback,
The Complete Sherlock Holmes #2 Boxed Set,0553328255,9780553328257,Rs. 379,,,Random House Publishing Group,1986,Paperback,
The Best of Ruskin Bond (English),0140246061,9780140246063,Rs. 360,428 Pages,Ruskin Bond,Penguin,1994 October,Paperback,English
Atlas Shrugged,0451191145,9780451191144,Rs. 209,,,Penguin Publishing Group,1996,Paperback,
Gone with the Wind (English),9382616594,9789382616597,Rs. 221,1204 Pages,Margaret Mitchell,Pan Macmillan India,2015 December,Paperback,English
IF TOMORROW COMES (English),8172234880,9788172234881,Rs. 218,501 Pages,,Harper Collins Publishers India,2005,Paperback,English
Three Man In A Boat (English),8171674038,9788171674039,Rs. 42,224 Pages,,Rupa Publication,1999,Paperback,English
The Old Man and the Sea,0099908409,9780099908401,Rs. 88,,,Random House,2004,Paperback,
Night Train at Deoli (English),014011615X,9780140116151,Rs. 154,248 Pages,,Penguin Books,1988,Paperback,English
Lord of The Flies (English),0571200532,9780571200535,Rs. 209,178 Pages,,FABER,1999,Paperback,English
The Godfather,0099528126,9780099528128,Rs. 209,,,Random House,2009,Paperback,
Anna Karenina,0140449175,9780140449174,Rs. 218,,Richard Pevear,Penguin,2003,Paperback,
"Two Years, Eight Months and TwentyEight Nights : A Novel (English)",067008848X,9780670088485,Rs. 512,304 Pages,Salman Rushdie,Penguin Books India Ltd,2015,Hardcover,English
Catch-22 (English),0099536013,9780099536017,Rs. 279,576 Pages,,Random House,1994 October,Paperback,English
On the Origin of Species (English),8129129582,9788129129581,Rs. 176,440 Pages,Charles Darwin,Rupa Publications,2013 September,Paperback,English
The Hobbit (English),0008118043,9780008118044,Rs. 211,400 Pages,J. R. R. Tolkien,HarperCollins,2014 November,Paperback,English
Love in the Time of Cholera (English),014012389X,9780140123890,Rs. 209,352 Pages,Gabriel Garcia Marquez,Penguin,1988,Paperback,English
Byomkesh Samagra,8172153554,9788172153557,Rs. 600,1000 Pages,,Ananda Publishers,1995,,Bengali
One Flew Over the Cuckoo's Nest (English),0141187883,9780141187884,Rs. 399,,,Penguin Books,,Paperback,English
1984: A Novel (English) 1st Edition,819071614X,9788190716147,Rs. 150,331 Pages,,Pigeon Books India,2009,Paperback,English
The Interpretation of Dreams (English),9380005873,9789380005874,Rs. 294,584 Pages,,Maple Press,,Paperback,English
"Feluda Samagra (I & II), Box-set",8177564803,9788177564808,Rs. 985,,,Ananda Publishers,,Hardcover,Bengali
The Metamorphosis (English),1416599681,9781416599685,Rs. 175,119 Pages,,Pocket Classics,2009 August,Paperback,English
Gone With The Wind (English),8190782614,9788190782616,Rs. 395,833 Pages,,G. K. Publishers (p) Ltd.,,Paperback,English
The Communist Manifesto (English),1840220961,9781840220964,Rs. 445,394 Pages,,Wordsworth Editions Ltd,2008,Paperback,English
Crime and Punishment (English),074348763X,9780743487634,Rs. 162,676 Pages,,SIMON,2004 May,Paperback,English
Gitanjali (English),8171676766,9788171676767,Rs. 150,142 Pages,,Rupa & Company,2002,Paperback,English
The Great Gatsby (English),812912422X,9788129124227,Rs. 75,152 Pages,,Rupa Publications India,2013,Paperback,English
Animal Farm (English),0141036133,9780141036137,Rs. 298,,,Penguin Books Ltd,,Paperback,English
Lolita (English),0141182539,9780141182537,Rs. 264,,,Penguin Books Ltd,,Paperback,English
Midnight's Children (English),0099582074,9780099582076,Rs. 287,672 Pages,,Random House,2013,Paperback,English
The Curious Incident of the Dog in the Night-time,0099572834,9780099572831,Rs. 194,,,,2012,Paperback,
GOOD EARTH (English),147673304X,9781476733043,Rs. 190,942 Pages,,Simon & Schuster Export,2014 February,Paperback,English
Something Fresh,0099513781,9780099513780,Rs. 265,,,Random House,2008,Paperback,
Alice's Adventures in Wonderland & Through the Looking-Glass,0553213458,9780553213454,Rs. 175,,,Random House Publishing Group,1984,Paperback,
The Pilgrim's Progress (English),0141439718,9780141439716,Rs. 399,,,Penguin Publishing Group,,Paperback,English
Things Fall Apart,0141186887,9780141186887,Rs. 259,,,Penguin Books Ltd,2001,Paperback,
Gulliver's Travels (English),009951205X,9780099512059,Rs. 194,352 Pages,,Random House,2008 June,Paperback,English
Of Mice and Men (English),0241952484,9780241952481,Rs. 450,112 Pages,,Penguin Books Ltd,2012 January,Paperback,English
Of Mice and Men (English),0141185104,9780141185101,Rs. 339,,,Penguin Books Ltd,,Paperback,English
Siddhartha (English),8189497375,9788189497378,Rs. 99,168 Pages,,Timeless Books,2012,Paperback,English
Wuthering Heights (English),818497597X,9788184975970,Rs. 81,,,BPI Pvt. Ltd.,2012,Paperback,English
