Head First Java (English) 2 Edition,8173666024,9788173666025,Rs. 700,730 Pages,Kathy Sierra,O' Reilly,2005,Paperback,English
Java - The Complete Reference (English) 7th  Edition,007063677X,9780070636774,Rs. 413,,,Mcgraw Hill Education,2007,Paperback,English
Think Python (English),9350238632,9789350238639,Rs. 300,316 Pages,,Shroff Publisher,2012,Paperback,English
Computer Networking: A Top-Down Approach (English) 5th  Edition,8131790541,9788131790540,Rs. 300,888 Pages,James F. Kurose,Pearson India,2012,Paperback,English
The C Programming Language (English) 2nd  Edition,9332549443,9789332549449,Rs. 154,284 Pages,Brian W. Kernighan,Pearson Education,2015 June,Paperback,English
Foundations of Software Testing - ISTQB Certification (English) 3rd  Edition,8131526364,9788131526361,Rs. 404,256 Pages,"Rex Black, Erik Van Veenendaal, Dorothy Graham",Cengage Learning,2015 February,Paperback,English
The Algorithm Design Manual (English),8184898657,9788184898651,Rs. 851,,,GOELS COMPUTER HUT (RS),,Paperback,English
Data Mining : Concepts and Techniques (English) 3rd  Edition,9380931913,9789380931913,Rs. 398,702 Pages,"Jain Pei, Jiawei Han, Micheline Kamber",Elsevier,2011,Paperback,English
Cryptography and Network Security : Principles and Practice (English) 6th  Edition,9332518777,9789332518773,Rs. 480,660 Pages,William Stallings,Pearson India,2014,Paperback,English
Elements of Programming Interviews (English),9382359443,9789382359449,Rs. 650,,Adnan Aziz Amit Prakash Tsung-Hsien Lee,Self Published,2013,Paperback,English
JavaScript: The Good Parts (English) 1 Edition,8184045220,9788184045222,Rs. 325,186 Pages,Douglas Crockford,O' Reilly,2014,Paperback,English
Foundations of Software Testing: ISTQB Certification by BLACK ET AL-English-Cengage Learning Emea-Paperback_Edition-3rd (English) 3rd  Edition,1408044056,9781408044056,Rs. 699,272 Pages,,Cengage Learning Emea,2012,Paperback,English
"Sap Abap/4, Covers Sap Ecc 6.0, Black Book (English) Reprint Edition 2016 Edition",8177224298,9788177224290,Rs. 664,696 Pages,,Dreamtech Press,2009,Paperback,English
SAP HR India Payroll: Technical Reference And Learning Guide (English) Fourth Printing Edition,8120338723,9788120338722,Rs. 535,884 Pages,,Phi Learning,2009,Paperback,English
Android Developer Tools : Essentials (English) 1 Edition,9351102653,9789351102656,Rs. 450,272 Pages,Mike Wolfson,O' Reilly,2013,Paperback,English
Big Data Big Analytics : Emerging Business Intelligence and Analytic Trends for Today's Businesses (English) 1st Edition,8126544694,9788126544691,Rs. 419,216 Pages,"Michele Chambers, Michael Minelli, Ambiga Dhiraj",Wiley India Pvt Ltd,2013 October,Paperback,English
