Sparknotes the Merchant of Venice,1586638505,9781586638504,Rs. 209,,,Spark,2003,Paperback,
ASURA TALES OF THE VANQUISHED : THE STORY OF RAVANA AND HIS PEOPLE (English),938157605X,9789381576052,Rs. 237,500 Pages,,Leadstart Publishing Pvt Ltd,2012,Paperback,English
Time Stops at Shamli (English),0140128425,9780140128420,Rs. 179,184 Pages,,Penguin Books,2000,Paperback,English
Rain in the Mountains: Notes from the Himalayas (English),0140236910,9780140236910,Rs. 154,264 Pages,Ruskin Bond,Penguin Books Ltd,2016,Paperback,English
Romeo and Juliet,0743477111,9780743477116,Rs. 97,,,Simon & Schuster,2004,Paperback,
Macbeth,1586638467,9781586638467,Rs. 399,,,Spark,2003,Paperback,
Waiting for Godot (English),0571244599,9780571244591,Rs. 454,128 Pages,,FABER,2010,Paperback,English
Best of Rabindranath Tagore (English),9380349653,9789380349657,Rs. 250,480 Pages,,Srishiti,2012,BOX,English
No Fear : Much Ado About Nothing (English),1411401018,9781411401013,Rs. 339,239 Pages,,Spark Pub Group,2004 January,Paperback,English
Me and My Plays (English),0143422286,9780143422280,Rs. 299,256 Pages,Mahesh Dattani,Penguin India,2014 January,Paperback,English
Memoirs Of A Geisha (English),0099498189,9780099498186,Rs. 569,512 Pages,,Random House,2006 January,Paperback,English
Death of a Salesman (English),0141182741,9780141182742,Rs. 298,,,PENGUIN UK,,Paperback,English
Tempest (English),1586638491,9781586638498,Rs. 339,224 Pages,,Spark,2003 July,Paperback,English
"Henry IV, Part I & Part II (English)",0007902301,9780007902309,Rs. 129,192 Pages,,HarperCollins Publishers,2011 September,Paperback,English
Hamlet: Third Series (English),9382563989,9789382563983,Rs. 227,640 Pages,William Shakespeare,Bloomsbury India,2013 January,Paperback,English
Henry V (English),0007902328,9780007902323,Rs. 129,192 Pages,,HarperCollins Publishers,2011 September,Paperback,English
The Merchant Of Venice: Third Series (English),9382563237,9789382563235,Rs. 211,480 Pages,William Shakespeare,Bloomsbury India,2013 January,Paperback,English
Richard III (English),0553213040,9780553213041,Rs. 194,400 Pages,,Random House Publishing Group,1988,Paperback,English
Streetcar Named Desire,0141190272,9780141190273,Rs. 359,,,Penguin Books,2009,Paperback,
As You Like it (English),0007902395,9780007902392,Rs. 129,128 Pages,,HarperCollins Publishers,2011 September,Paperback,English
Tales from Shakespeare (English),8176061271,9788176061278,Rs. 95,256 Pages,"Charles Lamb, Mary Lamb",Projapoti,2013 June,Paperback,English
