Scion of Ikshvaku (English),9385152149,9789385152146,Rs. 183,376 Pages,Amish Tripathi,Westland Limited,2015 June,Paperback,English
The Oath of the Vayuputras: Shiva Trilogy 3 (English),9382618341,9789382618348,Rs. 276,600 Pages,,Westland,2013,Paperback,English
The Immortals of Meluha (English),9380658745,9789380658742,Rs. 182,412 Pages,,Westland,2010,Paperback,English
Game of Thrones,0007428545,9780007428540,Rs. 264,,,Voyager,2011,Paperback,
Harry Potter and the Half-Blood Prince (English),1408855704,9781408855706,Rs. 444,560 Pages,,Bloomsbury Publishing (IN),2014 September,Paperback,English
Harry Potter and the Order of the Phoenix (English),1408855690,9781408855690,Rs. 441,816 Pages,,Bloomsbury Publishing (IN),2014 September,Paperback,English
The Secret of Nagas (English),9383260130,9789383260133,Rs. 262,428 Pages,Amish,Westland,2013 August,Paperback,English
Harry Potter and the Chamber of Secrets (English),1408855666,9781408855669,Rs. 209,384 Pages,,Bloomsbury Publishing (IN),2014 September,Paperback,English
Harry Potter and the Philosopher's Stone (English),1408855658,9781408855652,Rs. 259,352 Pages,,Bloomsbury Publishing (IN),2014 September,Paperback,English
Kafka On The Shore (English),0099494094,9780099494096,Rs. 389,624 Pages,,Random House,2005,Paperback,English
Harry Potter and the Prisoner of Azkaban (English),1408855674,9781408855676,Rs. 264,480 Pages,,Bloomsbury Publishing (IN),2014 September,Paperback,English
Harry Potter and the Deathly Hallows (English),1408855712,9781408855713,Rs. 444,640 Pages,,Bloomsbury Publishing (IN),2014 September,Paperback,English
The Ultimate Hitchhiker's Guide to the Galaxy,0345453743,9780345453747,Rs. 558,,,Random House Publishing Group,2002,Paperback,
Harry Potter and the Goblet of Fire (English),1408834995,9781408834992,Rs. 615,640 Pages,,Bloomsbury Publishing (IN),2013,Paperback,English
The Hobbit (English),0008118043,9780008118044,Rs. 211,400 Pages,J. R. R. Tolkien,HarperCollins,2014 November,Paperback,English
Storm of Swords (English),0007119550,9780007119554,Rs. 264,656 Pages,,Voyager,2003 April,Paperback,English
Clash of Kings,0007465823,9780007465828,Rs. 287,,,HarperCollins,2012,Paperback,
Brida (English),0007278594,9780007278596,Rs. 183,304 Pages,Paulo Coelho,HarperCollins Publisher,2008,Paperback,English
Dance With Dragons,0007466064,9780007466061,Rs. 130,,,Harper Voyager,2012,Paperback,
The Shining (English),1444720724,9781444720723,Rs. 249,512 Pages,,Hodder & Stoughton,2011 November,Paperback,English
Hercule Poirot: The Complete Short Stories,0006513778,9780006513773,Rs. 519,,,HarperCollins UK Original,1999,Paperback,
HARRY POTTER AND THE PHILOSOPHER'S STONE (English),0747532745,9780747532743,Rs. 595,224 Pages,,BLOOMSBURY,1997,Paperback,English
THE ALCHEMIST (English),8172234988,9788172234980,Rs. 125,192 Pages,,Harper Collins Publishers India,2015,Paperback,English
THE HOBBIT (English) Film tie-in ed Edition,0007487282,9780007487288,Rs. 387,400 Pages,,HARPER COLLINS INDIA,2012,Paperback,English
HITCHHIKER\'S GUIDE TO THE GALAXY- a trilogy in four parts (English),0330316117,9780330316118,Rs. 378,592 Pages,,Pan Macmillan,1992,Paperback,English
The Name of the Wind: The Kingkiller Chonicle: Book 1 (English),0575081406,9780575081406,Rs. 495,672 Pages,,Orion Publishing Group,2008,Paperback,English
The Wise Man's Fear: The Kingkiller Chronicle: Book 2 (English),0575081430,9780575081437,Rs. 495,1008 Pages,,Orion Publishing Group,2012 March,Paperback,English
Brave New World (English),0099477467,9780099477464,Rs. 298,229 Pages,,Random House,2004 September,Paperback,English
The Name of the Wind: The Kingkiller Chronicle: Day One,0756404746,9780756404741,Rs. 423,,,DAW,2008,Paperback,
Assassin's Creed: Unity (English),1405918845,9781405918848,Rs. 298,,,Penguin Books Ltd,,Paperback,English
A Storm of Swords,0007447841,9780007447848,Rs. 894,,George R. R. Martin,HarperCollins Publisher,2011,Paperback,
HARSH CRY OF THE HERON THE (English),0330449613,9780330449618,Rs. 350,656 Pages,,PAN BOOKS LTD,2007,Paperback,English
