India's Struggle for Independence (English),0140107819,9780140107814,Rs. 254,600 Pages,,Penguin Publishing Group,2000,Paperback,English
History of Modern India (English) 1st Edition,8125036849,9788125036845,Rs. 356,351 Pages,Bipan Chandra,Orient Blackswan,2009,Paperback,English
Governance in India for Civil Services Examinations (English) 2nd  Edition,9339204786,9789339204785,Rs. 383,528 Pages,M. Laxmikanth,Mcgraw Hill Education,2014 July,Paperback,English
The Motorcycle Diaries (English),0007272901,9780007272907,Rs. 183,165 Pages,Ernesto Che Guevara,HarperCollins Publisher,2004,Paperback,English
India Since Independence (English),0143104098,9780143104094,Rs. 238,788 Pages,,PENGUIN INDIA,2008,Paperback,English
A Brief History of Modern India (English),8179305171,9788179305171,Rs. 280,416 Pages,Rajiv Ahir,Spectrum Books Pvt. Ltd.,2014,Paperback,English
Freedom At Midnight (English),8125931864,9788125931867,Rs. 465,774 Pages,,VIKAS PUBLISHING HOUSE PVT. LTD.-NOIDA,1990,Paperback,English
India After Gandhi The History Of The Worlds Largest Democracy (English),0330505548,9780330505543,Rs. 444,944 Pages,Ramachandra Guha,Picador India,2008,Paperback,English
Durbar (English),9350097516,9789350097519,Rs. 209,324 Pages,,Hachette India,2013,Paperback,English
Annihilation of Caste - The Annotated Critical Edition (English),818905967X,9788189059675,Rs. 376,,,Navyana,2015,Paperback,English
Making India Awesome: New Essays and Columns (English),8129137429,9788129137425,Rs. 134,192 Pages,Chetan Bhagat,Rupa Publication India,2015,Paperback,English
Breaking India : Western Interventions In Dravidian And Dalit Faultlines (English),8191067374,9788191067378,Rs. 676,666 Pages,,"Amaryllis, An Imprint Of Manjul Publishing House.",2011,Hardcover,English
The Wonder That Was India (English),033043909X,9780330439091,Rs. 379,572 Pages,,Pan Macmillan,2004,Paperback,English
History of the World from the Late Nineteenth to the Early Twenty-First Century (English) 1 Edition,8125036873,9788125036876,Rs. 280,275 Pages,Arjun Dev,ORIENT BLACKSWAN PVT LTD.-NEW DELHI,2009,Paperback,English
The Discovery of India (English),0143031031,9780143031031,Rs. 444,642 Pages,,Penguin Books,2004 November,Paperback,English
Pax Indica: India and the World of the 21st Century (English),0143420186,9780143420187,Rs. 349,456 Pages,,Penguin,2013,Paperback,English
From Plassey to Partition : A History of Modern India (English) 1 Edition,8125025960,9788125025962,Rs. 350,524 Pages,,ORIENT BLACKSWAN PVT LTD.-NEW DELHI,2004,Paperback,English
History of Early India from the Origins to AD 1300 : From the Origins to AD 1300 (English),0143029894,9780143029892,Rs. 341,555 Pages,Romila Thapar,Penguin,2003,Paperback,English
India Unbound: from Independence to the Global Information age (English),0143419250,9780143419259,Rs. 222,432 Pages,,PENGUIN INDIA,2012,Paperback,English
Indias Biggest Cover Up (English),9380828691,9789380828695,Rs. 367,448 Pages,Anuj Dhar,Vitasta,2012,Hardcover,English
History Of Medieval India (English) 01 Edition,8125032266,9788125032267,Rs. 375,415 Pages,,Orient Blackswan,2009,Paperback,English
"Mastering Modern World History, 5/e PB 5th  Edition",1137483644,9781137483645,Rs. 660,698 Pages,,ATLANTIC PUBLISHERS DISTRIBUTORS (REGD.)-NEW DELHI,2014,Paperback,
Not Without My Daughter (English),0552152161,9780552152167,Rs. 209,528 Pages,,Transworld,1988,Paperback,English
"The Argumentative Indian: Writings on Indian History, Culture and Identity (English)",0141012110,9780141012117,Rs. 264,,,Penguin Books Ltd,,Paperback,English
Birds of the Indian Subcontinent (English) 2nd Edition,019807722X,9780198077220,"Rs. 1,230",480 Pages,,Oxford University Press,2011,Paperback,English
White Mughals : Love and Betrayal in Eighteenth-Century India (English),0143030469,9780143030461,Rs. 444,580 Pages,William Dalrymple,Penguin,2004 January,Paperback,English
WHAT YOUNG INDIA WANTS (English),8129120216,9788129120212,Rs. 150,181 Pages,,Rupa Publications,2012,Paperback,English
Persepolis: The Story of a Childhood and The Story of a Return,009952399X,9780099523994,Rs. 569,,,Random House,2008,Paperback,
A Short History Of Nearly Everything (English),0552997048,9780552997041,Rs. 394,672 Pages,,Transworld,2004 September,Paperback,English
Makers Of Modern India (English),0143419242,9780143419242,Rs. 379,568 Pages,,PENGUIN INDIA,2012,Paperback,English
Land of the Seven Rivers: A Brief History of India's Geography : A Brief History of India's Geography (English),0143420933,9780143420934,Rs. 339,352 Pages,,Penguin Publishing Group,2013 December,Paperback,English
Operation - Blue Star the True Story (English) 1 Edition,8174760687,9788174760685,Rs. 295,173 Pages,,UBS PUBLISHERS' DISTRIBUTORS (P) LTD.-NEW DELHI,2000,Paperback,English
