The Litigators (English),1444740148,9781444740141,Rs. 227,448 Pages,,Hodder & Stoughton,2011,Paperback,English
Courting Trouble (English),0061031410,9780061031410,Rs. 329,432 Pages,Lisa Scottoline,HarperTorch,2003 June,Paperback,English
DEAD RINGER (English),0060514949,9780060514945,Rs. 399,432 Pages,,HARPER COLLINS,2004,Paperback,English
VENDETTA DEFENSE (English),0061031429,9780061031427,Rs. 399,518 Pages,,HARPER COLLINS,2002,Paperback,English
The Confession,0440245117,9780440245117,Rs. 380,,,Random House Publishing Group,2011,Paperback,
RAGE OF ANGELS (English),8172234783,9788172234782,Rs. 245,504 Pages,,Harper Collins Publishers Ind Ltd.,2002,Paperback,English
Mistaken Identity (English),0061096113,9780061096112,Rs. 399,592 Pages,Lisa Scottoline,HarperCollins Publisher,2000 February,Paperback,English
The Brethren (English),0440236673,9780440236672,Rs. 299,464 Pages,,Random House Publishing Group,2000 December,Paperback,English
The Pelican Brief (English),0385421982,9780385421980,Rs. 495,384 Pages,,Knopf Doubleday Publishing Group,1992,Hardcover,English
The King of Torts (English) First  Edition,0385508042,9780385508049,"Rs. 1,698",384 Pages,,Knopf Doubleday Publishing Group,2003,Hardcover,English
The Testament: A Novel,0345531965,9780345531964,Rs. 299,,,Random House Publishing Group,2011,Paperback,
Shadow of Power: A Paul Madriani Novel( Series - Paul Madriani ) (English),0061470929,9780061470929,"Rs. 1,931",659 Pages,,William Morrow,2008,Paperback,English
A Time to Kill (English),080412115X,9780804121156,"Rs. 1,768",784 Pages,,Diversified Publishing,2013 September,Paperback,English
The Firm (English),0385319053,9780385319058,Rs. 998,432 Pages,,Random House Publishing Group,1997,Paperback,English
The Litigators (English),0739378333,9780739378335,"Rs. 1,729",558 Pages,,Diversified Publishing,2011,Paperback,English
