To Kill A Mockingbird,0099549484,9780099549482,Rs. 188,,,Random House,2010,,
The Motorcycle Diaries (English),0007272901,9780007272907,Rs. 211,165 Pages,Ernesto Che Guevara,HarperCollins Publisher,2004,,English
India Since Independence (English),0143104098,9780143104094,Rs. 326,788 Pages,,PENGUIN INDIA,2008,,English
Game of Thrones,0007428545,9780007428540,Rs. 362,,,Voyager,2011,,
Sherlock Holmes: The Complete Novels and Stories Volume I,0553212419,9780553212419,Rs. 209,,,Random House Publishing Group,1986,,
The Da Vinci Code (English),0552161276,9780552161275,Rs. 279,592 Pages,,Transworld,2009,,English
The Discovery of India (English),0143031031,9780143031031,Rs. 454,642 Pages,,Penguin Books,2004 November,,English
The Wonder That Was India (English),033043909X,9780330439091,Rs. 477,572 Pages,,Pan Macmillan,2004,,English
Lean In (English),0753541637,9780753541630,Rs. 419,256 Pages,,Ebury Publishing,2013,,English
A Suitable Boy (English),9383064129,9789383064120,Rs. 690,1552 Pages,Vikram Seth,Aleph Book Company,2014 February,,English
The Lowland (English),8184003862,9788184003864,Rs. 331,352 Pages,Jhumpa Lahiri,Random House India,2013 September,,English
Murder on the Orient Express (English),000728263X,9780007282630,Rs. 141,,Agatha Christie,HarperCollins Publisher,2007,,English
One Hundred Years of Solitude (English),0140157514,9780140157512,Rs. 279,422 Pages,Gabriel Garcia Marquez,Penguin,1996,,English
Anna Karenina,0140449175,9780140449174,Rs. 254,,Richard Pevear,Penguin,2003,,
Catch-22 (English),0099536013,9780099536017,Rs. 279,576 Pages,,Random House,1994 October,,English
Hercule Poirot: The Complete Short Stories,0006513778,9780006513773,Rs. 559,,,HarperCollins UK Original,1999,,
Sidney Sheldon The Naked Face (English),0007253915,9780007253913,Rs. 290,320 Pages,Jacqueline M. Atkinson,Harper,2006 January,,English
Midnight's Children (English),0099582074,9780099582076,Rs. 349,672 Pages,,Random House,2013,,English
The Sense of an Ending (English),0099570335,9780099570332,Rs. 297,160 Pages,,Random House,2012 March,,English
The Shadow Lines (English),0143066560,9780143066569,Rs. 297,288 Pages,Amitav Ghosh,Penguin,2009,,English
India : From Midnight to the Millennium and Beyond (English),0143103245,9780143103240,Rs. 297,389 Pages,,PENGUIN INDIA,2007,,English
Dongri To Dubai: Six Decades of The Mumbai Mafia (English),8174368949,9788174368942,Rs. 263,408 Pages,S Hussain Zaidi,Roli Books,2012,,English
One Flew Over the Cuckoo's Nest (English),0141187883,9780141187884,Rs. 399,,,Penguin Books,,,English
On the Road,0141182679,9780141182674,Rs. 297,,Jack Kerouac,Penguin,2000,,
The Girl with the Dragon Tattoo,1847245455,9781847245458,Rs. 233,,,Quercus Publishing,2008,,
The Clash of Civilizations and the Remaking of World Order (English),014026731X,9780140267310,Rs. 289,368 Pages,Samuel P. Huntington,Penguin,1997 October,,English
Crime and Punishment,0553211757,9780553211757,Rs. 225,,,Random House Publishing Group,1866,,
Em and the Big Hoom (English),9382277315,9789382277316,Rs. 260,240 Pages,,Aleph Book Company,2013,,English
The Siege : The Attack on the Taj (English),0143420100,9780143420101,Rs. 349,344 Pages,"Adrian Levy, Cathy Scott Clark",Penguin,2013 November,,English
Unbearable Lightness Of Being (English),0571135390,9780571135394,Rs. 449,320 Pages,,Faber And Faber,2000,,English
My Journey : Transforming Dreams into Actions (English),8129124912,9788129124913,Rs. 130,160 Pages,A. P. J. Abdul Kalam,Rupa Publications,2013 September,,English
Lolita (English),0141182539,9780141182537,Rs. 372,,,Penguin Books Ltd,,,English
The Lord of The Rings (English),0007273509,9780007273508,Rs. 594,1178 Pages,J. R. R. Tolkien,HarperCollins Publisher,2005,,English
A Time To Kill (English),0099134012,9780099134015,Rs. 297,752 Pages,,Random House,1992 December,,English
Our Moon has Blood Clots : The Exodus of the Kashmiri Pandits (English),8184000871,9788184000870,Rs. 450,272 Pages,Rahul Pandita,Vintage Books||Random House,2013,,English
I Am Malala : The Girl who Stood Up for Education and was Shot by the Taliban (English),0297870920,9780297870920,Rs. 141,288 Pages,,Orion Publishing Group,2013,,English
A Brief History Of Time (English),0553176986,9780553176988,Rs. 205,224 Pages,,Transworld,1989,,English
Gone Girl (English),1780221355,9781780221359,Rs. 244,480 Pages,,Orion Publishing Group,2012 November,,English
The Luminaries (English),1847088767,9781847088765,Rs. 924,848 Pages,Eleanor Catton,Granta Publications,2013 September,,English
The Grapes of Wrath,0141185066,9780141185064,Rs. 499,,,Penguin Books Ltd,2005,,
Animal Farm (English),0143416316,9780143416319,Rs. 87,100 Pages,,PENGUIN INDIA,2011,,English
Narcopolis (English),0571283071,9780571283071,Rs. 474,304 Pages,Jeet Thayil,Faber & Faber,2012,,English
The Day Of The Jackal (English),009955271X,9780099552710,Rs. 333,411 Pages,,Random House,2011,,English
The Name Of The Rose (English),0749397055,9780749397050,Rs. 419,512 Pages,,Random House,1992,,English
Alice's Adventures in Wonderland and Through the Looking-Glass,0141439769,9780141439761,Rs. 250,,,,2003,,
Snow Crash (English),0241953189,9780241953181,Rs. 399,448 Pages,,Penguin Books Ltd,2011 June,,English
Gandhi Before India (English),0670083879,9780670083879,Rs. 629,688 Pages,Ramachandra Guha,Allen Lane,2013 October,,English
The Signature of All Things (English),1408853914,9781408853917,Rs. 557,,,Bloomsbury Publishing (IN),,,English
Infinite Jest (English),0349121087,9780349121086,Rs. 486,1104 Pages,,"Little, Brown Book Group",2007,,English
Capital (English),9350297930,9789350297933,Rs. 349,468 Pages,Rana Dasgupta,HarperCollins India,2015,,English
We the Living (75th Anniversary Edition),045123359X,9780451233592,Rs. 350,,,Penguin Publishing Group,2011,,
Things Fall Apart,0141186887,9780141186887,Rs. 279,,,Penguin Books Ltd,2001,,
Zealot: The Life and Times of Jesus of Nazareth : The Life and Times of Jesus of Nazareth (English),9351360768,9789351360766,Rs. 419,336 Pages,,HarperCollins,2013 September,,English
Death of a Salesman (English),0141182741,9780141182742,Rs. 332,,,PENGUIN UK,,,English
The Testament of Mary (English),0241962978,9780241962978,Rs. 399,112 Pages,,Penguin Books Ltd,2013 July,,English
The Blind Assassin,1860498809,9781860498800,Rs. 474,,,"Little, Brown Book Group",2001,,
Les Miserables,0140444300,9780140444308,Rs. 569,,,Penguin Publishing Group,1982,,
The Age Of Revolution: 1789-1848 (English),0349104840,9780349104843,Rs. 419,416 Pages,,"Little, Brown",1988,,English
Wide Sargasso Sea (English),0141182857,9780141182858,Rs. 245,,,Penguin Books Ltd,,,English
Earthsea Quartet,0140348034,9780140348033,Rs. 741,,,Frances Lincoln Childrens Books,2010,,
If On A Winter's Night A Traveller,0099430894,9780099430896,Rs. 279,,,Random House,1992,,
Dune,0441172717,9780441172719,Rs. 450,,,Penguin Publishing Group,1990,,
How to Get Filthy Rich in Rising Asia (English),0670086371,9780670086375,Rs. 474,240 Pages,,Penguin,2013,,English
The Complete MAUS,0141014083,9780141014081,Rs. 899,,,Penguin Books Ltd,2003,,
Patriots & Partisans (English),014342114X,9780143421146,Rs. 464,352 Pages,Ramachandra Guha,Penguin,2013 October,,English
