She Swiped Right into My Heart (English),8184007450,9788184007459,Rs. 86,256 Pages,Sudeep Nagarkar,Random House India,2016,Paperback,English
Half Girlfriend (English),8129135728,9788129135728,Rs. 69,260 Pages,,Rupa Publication India,2014,Paperback,English
I Too Had a Love Story (English),0143418769,9780143418764,Rs. 157,206 Pages,,Penguin Publishing Group,2013 November,Paperback,English
Can Love Happen Twice? (English),0143417231,9780143417231,Rs. 122,224 Pages,,Penguin Publishing Group,2011 October,Paperback,English
Adultery (English),8184006098,9788184006094,Rs. 184,304 Pages,Paulo Coelho,Random House India,2014 August,Paperback,English
That's the Way We Met (English),8184001789,9788184001785,Rs. 86,248 Pages,Sudeep Nagarkar,Random House India,2015,Paperback,English
The Secret Wish List (English),938261818X,9789382618188,Rs. 66,270 Pages,,Westland,2012,Paperback,English
Till the Last Breath (English),0143421573,9780143421573,Rs. 104,256 Pages,Durjoy Datta,Penguin,2013 September,Paperback,English
"Men Are From Mars, Women Are From Venus: Get Seriously Involved with the Classic Guide to Surviving the Opposite Sex (English)",8172235038,9788172235031,Rs. 121,384 Pages,,Harper Collins Publishers India,2003,Paperback,English
You Were My Crush : Till You Said You Love Me (English),0143421557,9780143421559,Rs. 157,224 Pages,"Orvana Ghai, Durjoy Datta",Penguin,2013 September,Paperback,English
The One You Cannot Have (English),9383260688,9789383260683,Rs. 100,275 Pages,Preeti Shenoy,Westland Publisher,2013 November,Paperback,English
Journey of two Hearts! (English),9380349718,9789380349718,Rs. 56,224 Pages,Anuj Tiwari,SRISHTI PUBLISHERS & DISTRIBUTORS.-NEW DELHI,,Paperback,English
Few Things Left Unsaid (English),8184004192,9788184004199,Rs. 94,298 Pages,Sudeep Nagarkar,Random House India,2015,Paperback,English
2 States : The Story of My Marriage (English) 2nd  Edition,8129135523,9788129135520,Rs. 158,269 Pages,,Rupa Publications India,2015,Paperback,English
Te Amo I Love You (English),9350880121,9789350880128,Rs. 157,312 Pages,,Mahaveer Publishers,2012,Paperback,English
The Notebook (English),0751538914,9780751538915,Rs. 121,240 Pages,,"Little, Brown Book Group",2006,Paperback,English
It's First Love!...Just Like The Last One! (English),8192222667,9788192222660,Rs. 59,80 Pages,,Grapevine India Publishers,2011,Paperback,English
The Longest Ride,0751558486,9780751558487,Rs. 245,464 Pages,,"Little, Brown Book Group",2015,Paperback,
The (In)eligible Bachelors (English),8129118637,9788129118639,Rs. 181,252 Pages,,Rupa,2011 September,Paperback,English
A PRISONER OF BIRTH (English),1447221850,9781447221852,Rs. 259,,,PAN,,Paperback,English
The Bridges Of Madison County,0099421348,9780099421344,Rs. 227,,,Random House,1993,Paperback,
